"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,59.9963788517712,59.8355940242686,60.1571636792737,59.7504796779587,60.2422780255837
2023,59.9462188623893,59.7443101771821,60.1481275475964,59.6374261756091,60.2550115491695
2024,59.8960588730074,59.6498564673948,60.1422612786199,59.5195247866067,60.2725929594081
2025,59.8458988836255,59.5524693698138,60.1393283974372,59.3971371681127,60.2946605991383
2026,59.7957388942436,59.4523346440954,60.1391431443918,59.2705474150054,60.3209303734818
2027,59.7455789048617,59.3496041334678,60.1415536762556,59.1399877514627,60.3511700582607
2028,59.6954189154798,59.2444055032887,60.1464323276709,59.0056534248003,60.3851844061594
2029,59.6452589260979,59.1368483529132,60.1536694992826,58.8677120527671,60.4228057994287
2030,59.595098936716,59.0270282939712,60.1631695794608,58.7263098607327,60.4638880126993
2031,59.5449389473341,58.9150298051854,60.1748480894828,58.5815760477544,60.5083018469138
2032,59.4947789579522,58.8009283081099,60.1886296077946,58.4336259611449,60.5559319547595
2033,59.4446189685703,58.6847917233101,60.2044462138306,58.2825634764454,60.6066744606952
