"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,60.0411023825686,59.8877913992502,60.1944133658871,59.8066334670624,60.2755712980749
2023,60.0217045282636,59.837032478415,60.2063765781122,59.7392730004299,60.3041360560973
2024,60.0040675806867,59.7893701741113,60.2187649872621,59.6757162323872,60.3324189289863
2025,59.9880316874927,59.744257124274,60.2318062507114,59.6152106656147,60.3608527093707
2026,59.9734515074809,59.7013542892578,60.245548725704,59.5573147227045,60.3895882922573
2027,59.9601948932964,59.6604245183847,60.259965268208,59.5017356675771,60.4186541190157
2028,59.9481416937134,59.6212869690255,60.2749964184014,59.4482605295147,60.4480228579121
2029,59.9371826646459,59.5837950301186,60.2905702991731,59.3967229165741,60.4776424127177
2030,59.9272184790139,59.5478246353209,60.3066123227069,59.346985666237,60.5074512917907
2031,59.9181588264939,59.513267630594,60.3230500223937,59.2989311785733,60.5373864744144
2032,59.9099215949915,59.4800277841,60.339815405883,59.2524557472042,60.5673874427788
2033,59.9024321264193,59.4480182575365,60.3568459953021,59.2074660860109,60.5973981668277
