"ds","Forecast","Lower95","Upper95"
4408520-08-15,60.7913221152315,59.8383386388245,61.7443055916385
4408521-08-15,60.791322253228,59.8383387603856,61.7443057460705
4408522-08-15,60.7913223912245,59.8383388819466,61.7443059005024
4408523-08-15,60.791322529221,59.8383390035076,61.7443060549344
4408524-08-14,60.7913226672175,59.8383391250687,61.7443062093664
4408525-08-14,60.791322805214,59.8383392466297,61.7443063637984
4408526-08-14,60.7913229432106,59.8383393681907,61.7443065182304
4408527-08-14,60.7913230812071,59.8383394897517,61.7443066726624
4408528-08-13,60.7913232192036,59.8383396113127,61.7443068270944
4408529-08-13,60.7913233572001,59.8383397328737,61.7443069815264
4408530-08-13,60.7913234951966,59.8383398544347,61.7443071359585
4408531-08-13,60.7913236331931,59.8383399759957,61.7443072903905
