"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,34.1291158341992,33.0263272693532,35.2319043990453,32.4425462666748,35.8156854017237
2023,33.4819636454256,31.6834293407817,35.2804979500696,30.7313427911146,36.2325844997367
2024,32.8704885417626,30.5205424282764,35.2204346552488,29.2765560993442,36.464420984181
2025,32.2693006284652,29.4603085067831,35.0782927501473,27.9733178998935,36.5652833570369
2026,31.6710789408359,28.4645002984911,34.8776575831807,26.7670401010718,36.5751177806
2027,31.0737125396747,27.5127211358981,34.6347039434512,25.6276461555313,36.5197789238181
2028,30.4765927532435,26.5931488632566,34.3600366432304,24.5373778476599,36.4158076588271
2029,29.8795440761159,25.6983744529005,34.0607136993312,23.4849969544224,36.2740911978094
2030,29.2825159027637,24.8234368845649,33.7415949209626,22.4629430390108,36.1020887665166
2031,28.6854936415045,23.9648327714033,33.4061545116056,21.4658658579795,35.9051214250294
2032,28.0884730849479,23.1199817658605,33.0569644040354,20.489821337546,35.6871248323499
2033,27.4914530199283,22.2869187621756,32.695987277681,19.5318047500084,35.4511012898482
