"ds","Forecast","Lower95","Upper95"
4408520-08-15,30.859500137153,26.940445932098,34.778554342208
4408521-08-15,30.859491750016,26.9404373148555,34.7785461851765
4408522-08-15,30.8594833628791,26.9404286976129,34.7785380281452
4408523-08-15,30.8594749757421,26.9404200803702,34.7785298711141
4408524-08-14,30.8594665886052,26.9404114631273,34.7785217140831
4408525-08-14,30.8594582014683,26.9404028458842,34.7785135570523
4408526-08-14,30.8594498143313,26.940394228641,34.7785054000217
4408527-08-14,30.8594414271944,26.9403856113976,34.7784972429912
4408528-08-13,30.8594330400575,26.9403769941541,34.7784890859609
4408529-08-13,30.8594246529205,26.9403683769104,34.7784809289307
4408530-08-13,30.8594162657836,26.9403597596665,34.7784727719007
4408531-08-13,30.8594078786466,26.9403511424225,34.7784646148708
